,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
20502456,8.161472665,0.826846942,0.210086497,3.935745287,8.29E-05,0.002001675
20538253,7.364707526,0.828962774,0.216035816,3.837154369,0.000124468,0.002959781
20532567,5.684618947,0.906534626,0.239451109,3.785886108,0.000153162,0.003589314
20500773,7.506485974,0.808330938,0.215222066,3.755799553,0.000172789,0.003991425
20532592,2.812576004,1.479671672,0.396576275,3.731114962,0.000190634,0.004341627
20503873,2.654492939,1.825804389,0.49093883,3.719005863,0.000200008,0.004491856
20502235,4.122555148,1.054925675,0.287380657,3.670830481,0.000241764,0.00535523
20535260,3.115760012,1.295248822,0.355331197,3.64518746,0.000267197,0.005838615
20504584,3.59495643,-0.917556064,0.252797601,-3.629607485,0.000283853,0.00611986
20518794,3.116821063,-0.989879243,0.274750488,-3.602829796,0.000314772,0.006676536
20532591,2.534644607,1.516229096,0.421147311,3.600234538,0.00031793,0.006676536
20501228,6.675449201,0.787302943,0.220430955,3.571653276,0.000354735,0.007353926
20532563,6.615525102,0.774887849,0.220356822,3.516513993,0.000437254,0.008949862
20503811,4.017039056,1.004345537,0.288383953,3.482667903,0.000496444,0.009910489
20529134,2.821393609,1.307786655,0.375443745,3.483309213,0.000495256,0.009910489
20501242,3.787553927,-0.824235308,0.239891569,-3.435866096,0.000590663,0.011647583
20500771,9.714700017,0.676699154,0.198122356,3.415561817,0.000636506,0.01240036
20501230,2.650398602,1.485448427,0.44981271,3.302370954,0.000958712,0.018455204
20500486,8.934049023,0.649920716,0.199257639,3.261710406,0.001107422,0.021067078
20504433,5.141030621,0.799918096,0.246207423,3.248960107,0.001158277,0.021778305
20501300,2.996222631,1.150686413,0.355521225,3.236618046,0.001209552,0.022480981
20532589,9.922824645,0.623953194,0.194101808,3.21456662,0.001306416,0.024005393
20501229,5.187114958,0.776642222,0.246418184,3.151724477,0.001623093,0.029489238
20532590,10.02042208,0.603050327,0.192188021,3.137814339,0.001702127,0.03058154
20504188,2.661305081,1.190097233,0.382734893,3.109455799,0.001874323,0.033305283
20500132,7.319320694,0.657560111,0.212668016,3.091955833,0.001988424,0.034572926
20501252,3.647069864,0.949025896,0.306705104,3.094261828,0.001973033,0.034572926
20538247,7.397827202,0.65454695,0.212560616,3.079342553,0.00207458,0.035687189
20501175,1.85004511,1.504329136,0.493447077,3.04861292,0.002299005,0.038723864
20534822,4.286982356,0.816615232,0.267853252,3.048741149,0.002298024,0.038723864
20502367,1.880628096,1.687154643,0.554272918,3.043905971,0.002335281,0.038929378
20500440,4.022408075,0.845289049,0.280143311,3.017345114,0.002549993,0.042074887
20538248,7.147561748,0.641793222,0.213358576,3.008049799,0.0026293,0.042945241
20532722,4.353136084,0.798792211,0.265887835,3.004245044,0.002662408,0.043051137
20518783,1.891888775,-1.068736489,0.357496478,-2.989502151,0.002794325,0.044736863
20501177,4.693002288,0.750870114,0.25338773,2.963324679,0.003043354,0.048246108
20503101,4.863043655,0.73862037,0.250403521,2.949720389,0.003180616,0.049932589
